Date,CE,CW,NE,NO,NW,SE,SW
2016-03-26,5.66556789472944,7.999393975714196,2.353877476542878,1.846159870998704,10.183570441127848,14.633111840793681,2.019945819038405
2016-03-28,5.659464666861805,8.008013655007565,2.354982520996205,1.8493036569053054,10.190502363711182,14.640635042151487,2.02745917060494
2016-04-01,5.652724727935231,8.021509076049062,2.355838425893252,1.8577384157952868,10.196606970952512,14.634444983115792,2.0353333973582846
2016-04-02,5.651392668088485,8.024903515620087,2.356378501322212,1.8596798008966873,10.198493788578581,14.633345836061057,2.036576109577907
2016-04-05,5.647396488548244,8.035086834333162,2.3579987276090946,1.8655039562008884,10.204154241456795,14.630942824438861,2.0403042462367744
2016-04-06,5.646064428701495,8.06023021902723,2.358538803038056,1.867445341302289,10.206041059082864,14.630141820564802,2.0415469584563968
2016-04-09,5.6453771424180434,8.075006523463193,2.3591052262124044,1.8727536043386095,10.221348529678052,14.621861030680606,2.0470541994643248
2016-04-13,5.642935914577107,8.104941057349995,2.3609277835660962,1.879379544917534,10.260360885634316,14.61947115452403,2.0494088202994165
2016-04-14,5.642325607616874,8.112424690821694,2.3613834229045176,1.8810360300622648,10.270113974623383,14.618604270678144,2.04999747550819
2016-04-15,5.6417153006566405,8.119908324293394,2.361839062242942,1.882687679852588,10.280031036431206,14.618136606067642,2.050586130716962
2016-04-16,5.643158046312674,8.125180630099317,2.3629089925817865,1.883331733775339,10.291352297412548,14.625279674524036,2.0506486141223017
2016-04-17,5.64472927307503,8.133871795092446,2.3639789229206305,1.8839716535654838,10.302697676869775,14.632422742980419,2.0507110975276412
2016-04-18,5.646300499837383,8.136793659768433,2.365048853259475,1.8846681869390838,10.314043056327012,14.636187485622145,2.05078057808522
2016-04-19,5.648054730866822,8.135284176995661,2.3667145093325357,1.8856046113983025,10.316940998301497,14.643458861466385,2.050972404657465
2016-04-21,5.652815965384678,8.12979947076764,2.3700458214786577,1.8874774603167392,10.32519983946117,14.67520546537583,2.050531844303518
2016-04-22,5.654783292568293,8.12013794008596,2.371250482150387,1.8881956096254737,10.313457669637481,14.680811148340107,2.051446873934716
2016-04-24,5.65871794693552,8.100679286707122,2.3736598034938465,1.8902433961121567,10.290182345747287,14.692022514268658,2.0530197691073138
2016-04-26,5.662652601302752,8.081220633328282,2.376069124837305,1.8922911825988393,10.266907021857094,14.702932219956274,2.054169618023966
2016-04-27,5.664619928486366,8.07149130663886,2.377306125992587,1.8933415475437974,10.255269359911997,14.70838707280009,2.0547445424822923
2016-04-28,5.666587255669981,8.054243607665407,2.3785431271478688,1.8943919124887552,10.243631697966903,14.713841925643901,2.055319466940618
2016-04-30,5.670521910037208,8.038151361160685,2.381017129458433,1.8964926423786703,10.221801521430327,14.723566142243845,2.05646931585727
2016-05-01,5.6709744289826896,8.034329437249196,2.381636666737587,1.8971293702764582,10.21697716598686,14.729641524329868,2.0578464943335177
2016-05-03,5.677307333450984,8.025640398917146,2.3849220497838974,1.9017359856696647,10.213545574248034,14.734098207073236,2.0597243918992674
2016-05-05,5.675820007653719,8.035344605240075,2.3882194309727955,1.9061477389372385,10.235257385711531,14.740059156907686,2.0632852732332014
2016-05-07,5.674332681856447,8.045048811563005,2.3915168121616937,1.910559492204813,10.256969197175035,14.747159085714049,2.0669870642261614
2016-05-08,5.673695677817086,8.04990091472447,2.3931655027561427,1.9127653688385995,10.267825102906782,14.75070905011723,2.068837959722641
2016-05-09,5.673058673777729,8.067219794751445,2.394814193350591,1.9149712454723864,10.27868100863853,14.754259014520413,2.070688855219122
2016-05-12,5.671147661659643,8.085679094144046,2.399760265133938,1.9215888753737473,10.312270266339505,14.76243189341468,2.075971458691986
